Accession,Date,DOI,Bib_cite_entry
KJ642616,1968-01-01,10.3390/v7042168,Nakazawa2015
KJ642617,1971-01-01,10.3390/v7042168,Nakazawa2015
KP849470,1971-01-01,10.3390/v7042168,Nakazawa2015
NC_003310,1996-01-01,10.1128/mbio.01495-21,Senkevich2021
JX878410,2006-11-24,10.3201/eid2002.130118,Kugelman2014
JX878428,2007-06-30,10.3201/eid2002.130118,Kugelman2014
OP535341,2017-10-01,,Nnaemeka2022
OP535340,2017-10-01,,Nnaemeka2022
OP535337,2017-10-01,,Nnaemeka2022
OP535336,2017-10-01,,Nnaemeka2022
OP535335,2017-10-01,,Nnaemeka2022
OP535323,2017-10-01,,Nnaemeka2022
OP535322,2017-10-01,,Nnaemeka2022
MK783032,2017-11-01,,Yinka-Ogunleye2019
OP535320,2017-11-01,,Nnaemeka2022
MK783028,2017-11-09,,Yinka-Ogunleye2019
MK783031,2017-11-09,,Yinka-Ogunleye2019
MK783030,2017-11-30,,Yinka-Ogunleye2019
MK783029,2017-12-06,,Yinka-Ogunleye2019
OP535333,2018-01-01,,Nnaemeka2022
OP535324,2018-02-01,,Nnaemeka2022
OP535312,2018-02-01,,Nnaemeka2022
OP535329,2018-03-01,,Nnaemeka2022
OP535328,2018-03-01,,Nnaemeka2022
OP535327,2018-03-01,,Nnaemeka2022
OP535325,2018-06-01,,Nnaemeka2022
NC_063383,2018-08-01,10.1093/infdis/jiaa559,Mauldin2020
MT903341,2018-08-14,10.1093/infdis/jiaa559,Mauldin2020
MN648051,2018-10-04,,Cohen-Gihon2020
MT903344,2018-10-09,10.1093/infdis/jiaa559,Mauldin2020
MT903345,2018-10-09,10.1093/infdis/jiaa559,Mauldin2020
MT903343,2018-10-17,10.1093/infdis/jiaa559,Mauldin2020
MT903342,2019-04-30,10.1093/infdis/jiaa559,Mauldin2020
ON676708,2021-11-01,,Gigante2022
ON563414,2022-05-01,,Gigante2022
ON694329,2022-05-01,,Brinkmann2022
OP120937,2022-05-01,10.1101/2022.07.29.22278145,AjaMacaya2022
ON649713,2022-05-19,,Isidro2022
ON843173,2022-05-27,,Isidro2022
ON843172,2022-05-27,,Isidro2022
ON843174,2022-05-30,,Isidro2022
OP225968,2022-06-01,,Gigante2022
ON813267,2022-06-01,,Brinkmann2022
ON813266,2022-06-01,,Brinkmann2022
ON813261,2022-06-01,,Brinkmann2022
ON813255,2022-06-01,,Brinkmann2022
ON813251,2022-06-01,,Brinkmann2022
OP764628,2022-06-01,,Brinkmann2022
OP604533,2022-06-01,,Gigante2022
OP604532,2022-06-01,,Gigante2022
OP604530,2022-06-01,,Gigante2022
OP604529,2022-06-01,,Gigante2022
OP604528,2022-06-01,,Gigante2022
OP604527,2022-06-01,,Gigante2022
OP604522,2022-06-01,,Gigante2022
OP837353,2022-06-01,,Brinkmann2022
OP837352,2022-06-01,,Brinkmann2022
OP837351,2022-06-01,,Brinkmann2022
OP837350,2022-06-01,,Brinkmann2022
OP837349,2022-06-01,,Brinkmann2022
OP837347,2022-06-01,,Brinkmann2022
OP837346,2022-06-01,,Brinkmann2022
OP837345,2022-06-01,,Brinkmann2022
OP837344,2022-06-01,,Brinkmann2022
OP837343,2022-06-01,,Brinkmann2022
OP837342,2022-06-01,,Brinkmann2022
OP837341,2022-06-01,,Brinkmann2022
OP837340,2022-06-01,,Brinkmann2022
OP837339,2022-06-01,,Brinkmann2022
OP837338,2022-06-01,,Brinkmann2022
OP837337,2022-06-01,,Brinkmann2022
OP837336,2022-06-01,,Brinkmann2022
OP837335,2022-06-01,,Brinkmann2022
OP837334,2022-06-01,,Brinkmann2022
OQ099608,2022-06-01,,Gigante2022
OP120938,2022-06-01,10.1101/2022.07.29.22278145,AjaMacaya2022
ON843176,2022-06-02,,Isidro2022
OQ249660,2022-06-08,,Baliere2023
OP536686,2022-06-09,,Gagnon2022
OP536688,2022-06-12,,Gagnon2022
OQ249661,2022-06-14,,Baliere2023
OP536697,2022-06-17,,Gagnon2022
OP536702,2022-06-21,,Gagnon2022
OP536704,2022-06-22,,Gagnon2022
OP536709,2022-06-23,,Gagnon2022
OP536712,2022-06-24,,Gagnon2022
OP536711,2022-06-24,,Gagnon2022
OP536713,2022-06-25,,Gagnon2022
OP536731,2022-06-30,,Gagnon2022
OP123044,2022-07-01,,Sereewit2022
OP123045,2022-07-01,,Sereewit2022
OP123041,2022-07-01,,Sereewit2022
OP123040,2022-07-01,,Sereewit2022
OP536738,2022-07-01,,Gagnon2022
OP536737,2022-07-01,,Gagnon2022
OP536732,2022-07-01,,Gagnon2022
OP743951,2022-07-01,,Sereewit2022
OP434519,2022-07-01,,Sereewit2022
OP392531,2022-07-01,,Sereewit2022
OP604531,2022-07-01,,Gigante2022
OP604526,2022-07-01,,Gigante2022
OP604525,2022-07-01,,Gigante2022
OP604524,2022-07-01,,Gigante2022
OP604523,2022-07-01,,Gigante2022
OP604521,2022-07-01,,Gigante2022
OP604520,2022-07-01,,Gigante2022
OP604519,2022-07-01,,Gigante2022
OP881956,2022-07-01,,Gigante2022
OP881955,2022-07-01,,Gigante2022
OP881954,2022-07-01,,Gigante2022
OQ054242,2022-07-01,,Gigante2022
OQ099609,2022-07-01,,Gigante2022
OQ099607,2022-07-01,,Gigante2022
OQ099606,2022-07-01,,Gigante2022
OQ099605,2022-07-01,,Gigante2022
OQ099604,2022-07-01,,Gigante2022
OP536742,2022-07-02,,Gagnon2022
OP536740,2022-07-02,,Gagnon2022
OP536745,2022-07-06,,Gagnon2022
OP536718,2022-07-06,,Gagnon2022
OP879722,2022-07-26,,Palmateer2022
OP879723,2022-07-27,,Palmateer2022
OP257247,2022-08-01,,Sereewit2022
OP257243,2022-08-01,,Sereewit2022
OP215267,2022-08-01,,Brinkmann2022
OP743962,2022-08-01,,Sereewit2022
OP743961,2022-08-01,,Sereewit2022
OP743960,2022-08-01,,Sereewit2022
OP743959,2022-08-01,,Sereewit2022
OP743958,2022-08-01,,Sereewit2022
OP743957,2022-08-01,,Sereewit2022
OP743956,2022-08-01,,Sereewit2022
OP743955,2022-08-01,,Sereewit2022
OP743954,2022-08-01,,Sereewit2022
OP743953,2022-08-01,,Sereewit2022
OP743952,2022-08-01,,Sereewit2022
OP392553,2022-08-01,,Sereewit2022
OP392552,2022-08-01,,Sereewit2022
OP392551,2022-08-01,,Sereewit2022
OP392549,2022-08-01,,Sereewit2022
OP392548,2022-08-01,,Sereewit2022
OP392547,2022-08-01,,Sereewit2022
OP392546,2022-08-01,,Sereewit2022
OP392545,2022-08-01,,Sereewit2022
OP392544,2022-08-01,,Sereewit2022
OP392543,2022-08-01,,Sereewit2022
OP392542,2022-08-01,,Sereewit2022
OP392541,2022-08-01,,Sereewit2022
OP392540,2022-08-01,,Sereewit2022
OP392539,2022-08-01,,Sereewit2022
OP392538,2022-08-01,,Sereewit2022
OP392536,2022-08-01,,Sereewit2022
OP392535,2022-08-01,,Sereewit2022
OP392534,2022-08-01,,Sereewit2022
OP392533,2022-08-01,,Sereewit2022
OP392532,2022-08-01,,Sereewit2022
OP881952,2022-08-01,,Gigante2022
OP881951,2022-08-01,,Gigante2022
OP881950,2022-08-01,,Gigante2022
OP881948,2022-08-01,,Gigante2022
OP881941,2022-08-01,,Gigante2022
OQ054241,2022-08-01,,Gigante2022
OQ054235,2022-08-01,,Gigante2022
OQ054229,2022-08-01,,Gigante2022
OP820455,2022-08-08,,Barbian2022
OQ121956,2022-08-28,,Barbian2022
OP743993,2022-09-01,,Sereewit2022
OP743992,2022-09-01,,Sereewit2022
OP743991,2022-09-01,,Sereewit2022
OP743990,2022-09-01,,Sereewit2022
OP743989,2022-09-01,,Sereewit2022
OP743988,2022-09-01,,Sereewit2022
OP743987,2022-09-01,,Sereewit2022
OP743986,2022-09-01,,Sereewit2022
OP743985,2022-09-01,,Sereewit2022
OP743984,2022-09-01,,Sereewit2022
OP743983,2022-09-01,,Sereewit2022
OP743982,2022-09-01,,Sereewit2022
OP743981,2022-09-01,,Sereewit2022
OP743980,2022-09-01,,Sereewit2022
OP743979,2022-09-01,,Sereewit2022
OP743978,2022-09-01,,Sereewit2022
OP743976,2022-09-01,,Sereewit2022
OP743975,2022-09-01,,Sereewit2022
OP743974,2022-09-01,,Sereewit2022
OP743973,2022-09-01,,Sereewit2022
OP743972,2022-09-01,,Sereewit2022
OP743971,2022-09-01,,Sereewit2022
OP743970,2022-09-01,,Sereewit2022
OP743969,2022-09-01,,Sereewit2022
OP743968,2022-09-01,,Sereewit2022
OP743967,2022-09-01,,Sereewit2022
OP743966,2022-09-01,,Sereewit2022
OP743965,2022-09-01,,Sereewit2022
OP743964,2022-09-01,,Sereewit2022
OP715789,2022-09-01,,Sereewit2022
OP715788,2022-09-01,,Sereewit2022
OP881953,2022-09-01,,Gigante2022
OP881949,2022-09-01,,Gigante2022
OP881947,2022-09-01,,Gigante2022
OP881946,2022-09-01,,Gigante2022
OP881945,2022-09-01,,Gigante2022
OP881944,2022-09-01,,Gigante2022
OP881943,2022-09-01,,Gigante2022
OP881942,2022-09-01,,Gigante2022
OQ054247,2022-09-01,,Gigante2022
OQ054246,2022-09-01,,Gigante2022
OQ054245,2022-09-01,,Gigante2022
OQ054244,2022-09-01,,Gigante2022
OQ054243,2022-09-01,,Gigante2022
OQ054240,2022-09-01,,Gigante2022
OQ054239,2022-09-01,,Gigante2022
OQ054238,2022-09-01,,Gigante2022
OQ054237,2022-09-01,,Gigante2022
OQ054236,2022-09-01,,Gigante2022
OQ054234,2022-09-01,,Gigante2022
OQ054233,2022-09-01,,Gigante2022
OQ054232,2022-09-01,,Gigante2022
OQ054231,2022-09-01,,Gigante2022
OQ054230,2022-09-01,,Gigante2022
OQ054228,2022-09-01,,Gigante2022
OQ054227,2022-09-01,,Gigante2022
OQ054226,2022-09-01,,Gigante2022
OQ054225,2022-09-01,,Gigante2022
OQ054224,2022-09-01,,Gigante2022
OQ054223,2022-09-01,,Gigante2022
OQ054222,2022-09-01,,Gigante2022
OQ054221,2022-09-01,,Gigante2022
OQ054220,2022-09-01,,Gigante2022
OQ054219,2022-09-01,,Gigante2022
OQ054218,2022-09-01,,Gigante2022
OP820454,2022-09-07,,Barbian2022
OP820456,2022-09-08,,Barbian2022
OQ121962,2022-09-25,,Barbian2022
OP764629,2022-10-01,,Brinkmann2022
OP837354,2022-10-01,,Brinkmann2022
OQ261707,2022-10-14,,Betancur2023
